Annotator	Name	Version	Description	Homepage	Affiliation	Topic	Resource Type	Function description	Function name (EDAM operation)	Interface1	Interface1 URI	Interface2	Interface2 URI	Institution	Contact1	Contact1 Email	Contact1 Role	Contact2	Contact2 Email	Contact2 Role	Essential input	Essential input format	Optional input	Optional input format	Output Description	Output Type	Output Format	PMID
 Torsten Houwaart	LocARNA web server	1.8.5a	Structure-based alignment of RNAs	http://www.bioinf.uni-freiburg.de	Freiburg	Sequence comparison	Tool	LocARNA simultaneously folds and aligns input sequences. Specifications of additional constraints or fixed input structures are possible.	Structure-based sequence alignment	Web UI	http://rna.informatik.uni-freiburg.de/LocARNA/			University Freiburg	Rolf Backofen	rna@rna.informatik.uni-freiburg.de	General	Sebastian Will	will@bioinf.uni-leipzig.de	Developer	RNA sequence	FASTA, FASTA-like (text)	Nucleic Acid Secondary Structure Constraints	Dot-bracket format	Alignment annotated with RNAalifold consensus structure | Guide Tree and Sub Alignments | Reliability profile (when used with Locarna-P) | RNAalifold consensus structure	Alignment | Phylogenetic tree | RNA Structure	ClustalW format, FASTA, EPS, PNG, PDF | NEWICK, SVG | PDF, PNG, EPS	17432929;22450757;20444875
 Torsten Houwaart	INFORNA web server	2.2.0	RNA sequence design by inverse folding	http://www.bioinf.uni-freiburg.de	Freiburg	Sequence design	Tool	Design of RNA sequences that fold into a given pseudo-knot free RNA secondary structure, handling small pseudo-knots.	Nucleic acid design	Web UI	http://rna.informatik.uni-freiburg.de/INFORNA/			University Freiburg	Rolf Backofen	rna@rna.informatik.uni-freiburg.de	General	Anke Busch	anke@bioinf.uni-leipzig.de	Developer	RNA secondary structure	Dot-bracket format	Sequence Constraints	Textual format	Designed sequence with its MFE structure	Sequence | Image	FASTA, RNAML | SVG, PDF, EPS	17452349;16709587;20444875
 Torsten Houwaart	IntaRNA web server	1.2.5	sRNA target prediction	http://www.bioinf.uni-freiburg.de	Freiburg	Sequence analysis	Tool	Prediction of interactions between two RNA molecules. Predicts target sites on mRNA for given non-coding RNAs (ncRNAs) like eukaryotic microRNAs (miRNAs) or bacterial small RNAs (sRNAs), but it can also be used to predict other types of RNA-RNA interactions	RNA secondary structure prediction	Web UI	http://rna.informatik.uni-freiburg.de/IntaRNA/			University Freiburg	Rolf Backofen	rna@rna.informatik.uni-freiburg.de	General	Patrick Wright	wrightp@informatik.uni-freiburg.de	Helpdesk	RNA sequence	FASTA			Potential targets with p-value | Functional Enrichments | Target RNA regions plot | Query RNA regions plot | Functional annotation plot	Feature Table | Feature Table | Image | Image | Feature Table	Textual format | Textual format | PNG, PDF, EPS | PNG, PDF, EPS | HTML, PDF	24838564;18940824
 Torsten Houwaart	MARNA web server	1.0.0	Sequence-structure alignment of RNAs	http://www.bioinf.uni-freiburg.de	Freiburg	Sequence comparison	Tool	MARNA is a multiple alignment of RNAs taking into consideration both the primary sequence and the secondary structure. It is based on pairwise comparisons using costs of edit operations.	Structure-based sequence alignment	Web UI	http://rna.informatik.uni-freiburg.de/MARNA/			University Freiburg	Rolf Backofen	rna@rna.informatik.uni-freiburg.de	General	RNA Team Freiburg	rna@rna.informatik.uni-freiburg.de	Helpdesk	RNA sequence	FASTA-like (text)			Structure Alignments	Alignment	Textual format	15972285;20444875
 Torsten Houwaart	CRISPRmap web server	2.1.3	Prediction of CRISPR RNA by repeat conservation	http://www.bioinf.uni-freiburg.de	Freiburg	Sequence analysis	Tool	CRISPRmap enables comprehensive independent clustering analyses to determine conserved sequence families, potential structure motifs for endoribonucleases, and evolutionary relationships.	CRISPR gene prediction	Web UI	http://rna.informatik.uni-freiburg.de/CRISPRmap/			University Freiburg	Rolf Backofen	rna@rna.informatik.uni-freiburg.de	General	Sita Saunders	sita@informatik.uni-freiburg.de	Developer	RNA sequence	FASTA			CRISPRmap tree of consensus CRISPR sequences | Class assignments | Detailed structure motifs | Detailed sequence motifs |  	Phylogenetic tree | Image	NEWICK | PNG, JPG, PDF, Textual format, EPS, SVG	25161238;23863837
 Torsten Houwaart	AntaRNA web server	1.1.2	Multi-objective sequence design by inverse folding	http://www.bioinf.uni-freiburg.de	Freiburg	Sequence design	Tool	Design of RNA sequences into a function-specific target structure by solvong the inverse folding problem.	Nucleic acid design	Web UI	http://rna.informatik.uni-freiburg.de/AntaRNA/			University Freiburg	Rolf Backofen	rna@rna.informatik.uni-freiburg.de	General	Robert Kleinkauf	robertk@informatik.uni-freiburg.de	Developer	RNA secondary structure	Dot-bracket format	Sequence Constraints	Textual format	Nucleotide Sequences	Sequence	FASTA	26023105
 Torsten Houwaart	CopraRNA web server	2.0.3.2	sRNA target prediction boosted by comparative information	http://www.bioinf.uni-freiburg.de	Freiburg	Sequence analysis	Tool	sRNA target prediction	RNA secondary structure prediction	Web UI	http://rna.informatik.uni-freiburg.de/CopraRNA/			University Freiburg	Rolf Backofen	rna@rna.informatik.uni-freiburg.de	General	Patrick Wright	wrightp@informatik.uni-freiburg.de	Developer	RNA sequence	FASTA			Potential targets with p-value | Functional Enrichments | Target RNA regions plot | Query RNA regions plot | Functional annotation plot	Feature Table | Feature Table | Image | Image | Feature Table | Phylogenetic tree	Textual format | Textual format | PNG, PDF, EPS | PNG, PDF, EPS | HTML, PDF | NEWICK, SVG	24838564;23980183
 Torsten Houwaart	ExpaRNA web server	1.0.0	Structure motif based alignment generation	http://www.bioinf.uni-freiburg.de	Freiburg	Sequence comparison	Tool	Computes arrangement of exact matching sequence-structure motives common to two RNAs	Structure-based sequence alignment	Web UI	http://rna.informatik.uni-freiburg.de/ExpaRNA/			University Freiburg	Rolf Backofen	rna@rna.informatik.uni-freiburg.de	General	Steffen Heyne	heyne@ie-freiburg.mpg.de	Developer	RNA sequence	FASTA, FASTA-like (text)	Multiple Nucleic Acid Secondary Structures	Dot-bracket format	Plot of secondary structure motifs common to both sequences	Image	PNG, PDF, EPS	19189979;20444875 
 Torsten Houwaart	CARNA web server	1.2.5	Global structure ensemble based multiple alignment generation	http://www.bioinf.uni-freiburg.de	Freiburg	Sequence comparison	Tool	CARNA requires only the RNA sequences as input and will compute base pair probability matrices and align the sequences based on their full ensembles of structures.	Structure-based sequence alignment	Web UI	http://rna.informatik.uni-freiburg.de/CARNA/			University Freiburg	Rolf Backofen	rna@rna.informatik.uni-freiburg.de	General	Sebastian Will	will@bioinf.uni-leipzig.de	Developer	RNA sequence	FASTA, FASTA-like (text)	Base Pair Probability Matrix	EPS	Conservation Dot Plots | Alignment annotated with pseudoknot-free consensus structure	Image | Alignment | Phylogenetic tree | Sequence	PNG, PDF, EPS | ClustalW format | NEWICK | FASTA	22689637
 Torsten Houwaart	SECISDesign web server	1.0.0	Insert SECIS-elements in coding mRNAs	http://www.bioinf.uni-freiburg.de	Freiburg	Sequence design	Tool	Insert SECIS-elements in coding mRNAs	Nucleic acid restriction digest	Web UI	http://rna.informatik.uni-freiburg.de/SECISDesign/			University Freiburg	Rolf Backofen	rna@rna.informatik.uni-freiburg.de	General	Anke Busch	anke@bioinf.uni-leipzig.de	Developer	Protein sequence	Textual format	Sequence Constraints	Textual format	mRNA Sequence with Structure and its Probability for the SECIS-Element region after UGA stop codon	Sequence	Textual format	15919727
 Torsten Houwaart	ExpaRNA-P	1.8.7	Simultaneous Exact Pattern Matching and Folding of RNAs	http://www.bioinf.uni-freiburg.de	Freiburg	Sequence comparison	Tool	ExpaRNA is a fast, motif-based comparison and alignment tool for RNA molecules. It computes the best arrangement of local sequence-structure (substructure) motifs common to two RNAs.	Structure-based sequence alignment	Command line	http://www.bioinf.uni-freiburg.de/Software/ExpaRNA-P/			University Freiburg	Rolf Backofen	rna@rna.informatik.uni-freiburg.de	General	Christina Otto	schmiedc@informatik.uni-freiburg.de	Developer	RNA sequence	FASTA, FASTA-like (text)	Secondary Structure	Dot-bracket format	Alignment ad graphical representation of shared substructures between input sequences.	Alignment | Image	ClustalW format | EPS	25551362
 Torsten Houwaart	SPARSE	1.8.7	Very efficient structure-based alignment of RNAs	http://www.bioinf.uni-freiburg.de	Freiburg	Sequence comparison	Tool	A simultaneous alignment and folding tool with quadratic complexity	Structure-based sequence alignment	Command line	http://www.bioinf.uni-freiburg.de/Software/SPARSE			University Freiburg	Rolf Backofen	rna@rna.informatik.uni-freiburg.de	General	Sebastian Will	will@bioinf.uni-leipzig.de	Developer	RNA sequence	FASTA, FASTA-like (text)	Nucleic Acid Secondary Structure Constraints	Dot-bracket format	Alignment annotated with RNAalifold consensus structure | Guide Tree and Sub Alignments | Reliability profile (when used with Locarna-P) | RNAalifold consensus structure	Alignment | Phylogenetic tree | RNA Structure	ClustalW format, FASTA, PDF | NEWICK | EPS	25838465
 Torsten Houwaart	LocARNA	1.8.7	Structure-based alignment of RNAs	http://www.bioinf.uni-freiburg.de	Freiburg	Sequence comparison	Tool	LocARNA simultaneously folds and aligns input sequences. Specifications of additional constraints or fixed input structures are possible.	Structure-based sequence alignment	Command line	http://www.bioinf.uni-freiburg.de/Software/LocARNA/			University Freiburg	Rolf Backofen	rna@rna.informatik.uni-freiburg.de	General	Sebastian Will	will@bioinf.uni-leipzig.de	Developer	RNA sequence	FASTA, FASTA-like (text)	Nucleic Acid Secondary Structure Constraints	Dot-bracket format	Alignment annotated with RNAalifold consensus structure | Guide Tree and Sub Alignments | Reliability profile (when used with Locarna-P) | RNAalifold consensus structure	Alignment | Phylogenetic tree | RNA Structure	ClustalW format, FASTA, PDF | NEWICK | EPS	17432929;20444875;22450757
 Torsten Houwaart	ExpaRNA	1.0.0	Structure motif based alignment generation	http://www.bioinf.uni-freiburg.de	Freiburg	Sequence comparison	Tool	Computes arrangement of exact matching sequence-structure motives common to two RNAs	Structure-based sequence alignment	Command line	http://www.bioinf.uni-freiburg.de/Software/#ExpaRNA-download			University Freiburg	Rolf Backofen	rna@rna.informatik.uni-freiburg.de	General	Steffen Heyne	heyne@ie-freiburg.mpg.de	Developer	RNA sequence	FASTA, FASTA-like (text)	Multiple Nucleic Acid Secondary Structures	Dot-bracket format	Plot of secondary structure motifs common to both sequences	Image	EPS	19189979;20444875 
