 	Name	Version	Description	Homepage	Affiliation	Topic	Resource Type	Function description	Function name (EDAM operation)	Interface1	Interface1 URI	Interface2	Interface2 URI	Institution	Contact1	Contact1 Email	Contact1 Role	Contact2	Contact2 Email	Contact2 Role	Essential input	Essential input formats	Optional input	Optional  input formats	Essential Output	Essential output formats	Optional output	Optional output formats	Output Description	PMID
Florian Eggenhofer	RNApredator	1.55	Bacterial small RNA target prediction webservice	http://rna.tbi.univie.ac.at/cgi-bin/RNApredator/target_search.cgi	TBI	RNA-RNA interaction	Webservice	Prediction of sRNA-mRNA interactions in bacteria.	RNA-RNA interaction prediction	Web UI	http://rna.tbi.univie.ac.at/cgi-bin/RNApredator/target_search.cgi			TBI	Florian Eggenhofer	florian.eggenhofer@univie.ac.at	Scientific	Ivo L. Hofacker	ivo@tbi.univie.ac.at	scientific	RNA sequence	FASTA	NCBI Accession number	Text	RNA-RNA interaction	html-list	GO term enrichment	html-table	List of best targets by interaction energy, gene onthology enrichment	21593134|18434344|21672960
Florian Eggenhofer	CMcompare	1.0.0	CMCompare compares Infernal RNA family models (covariance models).	http://rna.tbi.univie.ac.at/cmcws2/cmcws.cgi	TBI	RNA Covariance Model	Tool,Webservice	Compares Infernal RNA family models to identify models with poor specificity and explore the relationship between models.	RNA structure covariance model comparison	Command line	https://www.tbi.univie.ac.at/software/cmcompare/	Webinterface	http://rna.tbi.univie.ac.at/cmcws2/cmcws.cgi	TBI	Christian Höner zu Siederdissen	choener@tbi.univie.ac.at	Scientific	Florian Eggenhofer	florian.eggenhofer@univie.ac.at	scientific	Covariance Model	Infernal covariance model			Covariance model comparison	html-list	Covariance model comparison plot	SVG | DOT	Linkscore, visualisation of links between input models or input model and Rfam models	20823307|23640330
Florian Eggenhofer	RNAlien	1.0.0	Construction of RNA family models from a singe input sequence.	http://rna.tbi.univie.ac.at/rnalien	TBI	RNA Covariance Model | Homology search	Tool, Webservice	RNAlien constructs a RNA family model (Infernal coveriance model) and a corresponding structural alignment from a input RNA sequence.	Nucleic acid feature detection, Structure alignment, Covariance model construction	Command line	http://rna.tbi.univie.ac.at/rnalien/tool	Webinterface	http://rna.tbi.univie.ac.at/rnalien	TBI	Florian Eggenhofer	florian.eggenhofer@univie.ac.at	Scientific	Ivo L. Hofacker	ivo@tbi.univie.ac.at	scientific	RNA sequence	FASTA	NCBI Taxonomy id	Text	Covariance Model	Infernal covariance model, Stockholm alignment format	Organisms	SVG | JSON | CSV	RNAfamily model (Infernal coveriance model), structural alignment (Stockholm format)	
Ronny Lorenz	RNA2Dfold	2.1.9	Compute MFE structure, partition function and representative sample structures of k,l neighborhoods.	http://www.tbi.univie.ac.at/RNA/RNA2Dfold.html	TBI	RNA secondary structure	Tool	Compute MFE structure, partition function and representative sample structures of k,l neighborhoods	RNA secondary structure prediction	Command line	http://www.tbi.univie.ac.at/RNA/RNA2Dfold.html			TBI	Ronny Lorenz	rna@tbi.univie.ac.at	Scientific	Ivo L. Hofacker	ivo@tbi.univie.ac.at	scientific	Nucleotide Sequence	FASTA			Multiple Nucleic Acid Secondary Structures	Dot-bracket format			Properties of secondary structure distance classes, such as Minimum Free Energy, structure representative, equilibrium probability.	22115189
Ronny Lorenz	RNAaliduplex	2.1.9	Predict conserved RNA−RNA interactions between two alignments.	http://www.tbi.univie.ac.at/RNA/RNAaliduplex.html	TBI	RNA secondary structure	Tool	Predict conserved RNA−RNA interactions between two alignments	RNA-RNA interaction structure prediction	Command line	http://www.tbi.univie.ac.at/RNA/RNAaliduplex.html			TBI	Ronny Lorenz	rna@tbi.univie.ac.at	Scientific	Ivo L. Hofacker	ivo@tbi.univie.ac.at	scientific	Multiple Nucleotide Sequence Alignment	Clustal,Stockholm			Nucleic Acid Secondary Structure | Multiple Nucleic Acid Secondary Structures	Dot-bracket format | Dot-bracket format			Binding sites, energies, and structures, one structure per line. 	22115189
Ronny Lorenz	RNAalifold	2.1.9	Calculate secondary structures for a set of aligned RNAs.	http://www.tbi.univie.ac.at/RNA/RNAalifold.html	TBI	RNA secondary structure	Tool	Calculate consensus secondary structures for a set of aligned RNAs	RNA secondary structure prediction	Command line	http://www.tbi.univie.ac.at/RNA/RNAalifold.html	Webinterface	http://rna.tbi.univie.ac.at/cgi-bin/RNAalifold.cgi	TBI	Ronny Lorenz	rna@tbi.univie.ac.at	Scientific	Ivo L. Hofacker	ivo@tbi.univie.ac.at	scientific	Multiple Nucleotide Sequence Alignment	Clustal,Stockholm	Secondary Structure Constraint	Dot-bracket format	Nucleic Acid Secondary Structure	Dot-bracket format	Nucleic Acid Secondary Structure Equilibrium Base Pair Probabilities | Nucleic Acid Secondary Structure Drawing	EPS | EPS	Minimum free energy (mfe) structure in bracket notation, its energy, the free energy of the thermodynamic ensemble and the frequency of the mfe structure in the ensemble to stdout, Postscript files with plots of the resulting secondary structure graph ("alirna.ps") and a "dot plot" of the base pairing matrix ("alidot.ps"). The file "alifold.out" will contain a list of likely pairs sorted by credibility, suitable for viewing with "AliDot.pl" 	22115189
Ronny Lorenz	RNAcofold	2.1.9	Calculate secondary structures of two RNAs with dimerization.	http://www.tbi.univie.ac.at/RNA/RNAcofold.html	TBI	RNA secondary structure | RNA-RNA interaction	Tool	Calculate secondary structures of two RNAs with dimerization	RNA-RNA interaction secondary structure prediction	Command line	http://www.tbi.univie.ac.at/RNA/RNAcofold.html	Webinterface	http://rna.tbi.univie.ac.at/cgi-bin/RNAcofold.cgi	TBI	Ronny Lorenz	rna@tbi.univie.ac.at	Scientific	Ivo L. Hofacker	ivo@tbi.univie.ac.at	scientific	Multiple Nucleotide Sequences	Text,FASTA	Secondary Structure Constraint	Dot-bracket format	Nucleic Acid Secondary Structure	Dot-bracket format	Nucleic Acid Secondary Structure Equilibrium Base Pair Probabilities | Nucleic Acid Secondary Structure Drawing	EPS | EPS	Output consists of the mfe structure in bracket notation as well as PostScript structure plots and "dot plot" files containing the pair probabilities	22115189
Ronny Lorenz	RNAdistance	2.1.9	Calculate distances between RNA secondary structures.	http://www.tbi.univie.ac.at/RNA/RNAdistance.html	TBI	RNA secondary structure	Tool	Calculate distances between RNA secondary structures.	RNA secondary structure distance computation	Command line	http://www.tbi.univie.ac.at/RNA/RNAdistance.html			TBI	Ronny Lorenz	rna@tbi.univie.ac.at	Scientific	Ivo L. Hofacker	ivo@tbi.univie.ac.at	scientific	Pair of Nucleic Acid Secondary Structures	Text,FASTA			Nucleic Acid Secondary Structure Distance	RNAdistance format			The distance between a pair of secondary structures based on a specific distance measure (such as base pair distance, tree-edit distance, etc.)	22115189
Ronny Lorenz	RNAduplex	2.1.9	Compute the structure upon hybridization of two RNA strands.	http://www.tbi.univie.ac.at/RNA/RNAduplex.html	TBI	RNA secondary structure | RNA-RNA interaction	Tool	Compute the structure upon hybridization of two RNA strands.	RNA-RNA interaction secondary structure prediction	Command line	http://www.tbi.univie.ac.at/RNA/RNAduplex.html			TBI	Ronny Lorenz	rna@tbi.univie.ac.at	Scientific	Ivo L. Hofacker	ivo@tbi.univie.ac.at	scientific	Multiple Nucleotide Sequences	Text,FASTA			Nucleic Acid Secondary Structure | Multiple Nucleic Acid Secondary Structures	Dot-bracket format | Dot-bracket format			Computes optimal and suboptimal secondary structures for their hybridization. Each line consist of: The structure in dot bracket format with a "&" separating the two strands. The range of  the structure in the two sequences in the format "from,to : from,to"; the energy of duplex structure in kcal/mol. 	22115189
Ronny Lorenz	RNAeval	2.1.9	Calculate energy of RNA sequences with given secondary structure.	http://www.tbi.univie.ac.at/RNA/RNAeval.html	TBI	RNA secondary structure	Tool	Calculate energy of RNA sequences with given secondary structure.	RNA structure free energy determination	Command line	http://www.tbi.univie.ac.at/RNA/RNAeval.html	Webinterface	http://rna.tbi.univie.ac.at/cgi-bin/RNAeval.cgi	TBI	Ronny Lorenz	rna@tbi.univie.ac.at	Scientific	Ivo L. Hofacker	ivo@tbi.univie.ac.at	scientific	Nucleotide Sequence | Nucleic Acid Secondary Structure	Text,FASTA | Dot-bracket format	Secondary Structure Constraint	Dot-bracket format	Nucleic Acid Secondary Structure Free Energy	RNAeval output format			RNA secondary structure free energy in kcal/mol	22115189
